Feature,Importance
Packet Length Std,0.06715345135577892
Packet Length Variance,0.05734837202643319
Avg Bwd Segment Size,0.05669814571497844
Max Packet Length,0.049428068813536
Bwd Packet Length Std,0.041913663689741115
Average Packet Size,0.03989093241123406
Bwd Packet Length Max,0.03908020524264063
Total Length of Bwd Packets,0.03530389837982137
Total Length of Fwd Packets,0.031897722499088337
Fwd Packet Length Max,0.029942188872273668
Subflow Bwd Bytes,0.028576812714444032
Subflow Fwd Bytes,0.027218107810381604
Avg Fwd Segment Size,0.0250636750168712
Subflow Fwd Packets,0.021618137547717325
Packet Length Mean,0.01986310501790542
Bwd Packet Length Mean,0.01923349305682314
Destination Port,0.01916853116873683
Fwd IAT Max,0.01890486124478225
PSH Flag Count,0.01813700493142101
Total Fwd Packets,0.017612408574734298
Bwd Header Length,0.017190137220900396
Flow IAT Std,0.016770910429553393
Init_Win_bytes_backward,0.016183988351665953
Fwd IAT Std,0.015193062918351598
Fwd Header Length,0.014654326683946322
Fwd Packet Length Std,0.01429519567658839
Fwd IAT Mean,0.013868914597005694
Idle Mean,0.013386493851556405
act_data_pkt_fwd,0.013182943673852459
Init_Win_bytes_forward,0.013154175215320245
Fwd Header Length.1,0.012796242013983368
Flow IAT Mean,0.01183738093987391
Fwd Packet Length Mean,0.011647657048093412
Flow Bytes/s,0.01138525137766062
Bwd Packets/s,0.011028855084226826
Idle Min,0.010959563343407834
min_seg_size_forward,0.00991817060655182
Fwd IAT Total,0.00978732832556834
Flow Packets/s,0.008858524432709534
Total Backward Packets,0.007384221229465825
ACK Flag Count,0.006817079577897694
Flow IAT Max,0.006610965547391257
Subflow Bwd Packets,0.006448735443958967
Fwd IAT Min,0.006023584809153226
Flow Duration,0.005869140098511333
Fwd Packets/s,0.004760150853914534
Bwd Packet Length Min,0.004406536913601264
Idle Max,0.00418687401902137
Bwd IAT Mean,0.004115357426148432
Fwd Packet Length Min,0.003817216126959565
Active Mean,0.003496626377429085
Min Packet Length,0.003468694749973038
Flow IAT Min,0.0030044332193658475
Bwd IAT Total,0.002873600887675609
Bwd IAT Max,0.0025519003586755755
Active Max,0.0024651450816029746
Bwd IAT Std,0.002148391754334062
FIN Flag Count,0.0021294124399077654
Active Min,0.001948189218893667
Down/Up Ratio,0.0014427785808784905
Bwd IAT Min,0.001239128493715352
Active Std,0.0008348251482486142
URG Flag Count,0.0007211890779317871
Idle Std,0.0003671014864627256
SYN Flag Count,0.0003656997133013003
Fwd PSH Flags,0.0003471551172122534
CWE Flag Count,3.158457175332061e-06
Fwd URG Flags,7.359016739134502e-07
ECE Flag Count,3.2038645877764066e-08
RST Flag Count,3.1970713971515225e-08
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
