fpr_budget,threshold,class,n,detection_rate,observed_benign_fpr,false_alerts_per_day,projected_true_alerts_per_day,projected_precision
0.001,0.27478306102764555,Bot,1966,0.0,0.0014265886186711726,14251.620300525014,,
0.001,0.27478306102764555,PortScan,158930,0.002309192726357516,0.0014265886186711726,14251.620300525014,,
0.001,0.27478306102764555,DDoS,128027,0.6193302975153678,0.0014265886186711726,14251.620300525014,,
0.001,0.27478306102764555,__ANY_ATTACK__,288923,0.27570667617323646,0.0014265886186711726,14251.620300525014,2757.0667617323647,0.16209756529946112
0.01,0.006130252964794636,Bot,1966,0.000508646998982706,0.04379699474986422,437531.97755114356,,
0.01,0.006130252964794636,PortScan,158930,0.0062228654124457305,0.04379699474986422,437531.97755114356,,
0.01,0.006130252964794636,DDoS,128027,0.6361939278433455,0.04379699474986422,437531.97755114356,,
0.01,0.006130252964794636,__ANY_ATTACK__,288923,0.2853355392267144,0.04379699474986422,437531.97755114356,2853.355392267144,0.0064792243946820965
0.05,0.00041244934545829306,Bot,1966,0.09409969481180061,0.09479452054794521,946997.2602739726,,
0.05,0.00041244934545829306,PortScan,158930,0.05414962562134273,0.09479452054794521,946997.2602739726,,
0.05,0.00041244934545829306,DDoS,128027,0.6699680536136908,0.09479452054794521,946997.2602739726,,
0.05,0.00041244934545829306,__ANY_ATTACK__,288923,0.32730173783326355,0.09479452054794521,946997.2602739726,3273.0173783326354,0.0034443015374729007
