,pred:BENIGN,pred:DoS GoldenEye,pred:DoS Hulk,pred:DoS Slowhttptest,pred:DoS slowloris,pred:FTP-Patator,pred:SSH-Patator,pred:Unknown_Attack,pred:WebAttack_BruteForce,pred:WebAttack_SQLInjection,pred:WebAttack_XSS
true:BENIGN,372062,8,82,51,8,11,10,42032,2,2,7
true:DoS GoldenEye,0,0,0,0,0,0,0,0,0,0,0
true:DoS Hulk,0,0,0,0,0,0,0,0,0,0,0
true:DoS Slowhttptest,0,0,0,0,0,0,0,0,0,0,0
true:DoS slowloris,0,0,0,0,0,0,0,0,0,0,0
true:FTP-Patator,0,0,0,0,0,0,0,0,0,0,0
true:SSH-Patator,0,0,0,0,0,0,0,0,0,0,0
true:Unknown_Attack,212062,61,32413,0,85,0,0,44292,2,0,8
true:WebAttack_BruteForce,0,0,0,0,0,0,0,0,0,0,0
true:WebAttack_SQLInjection,0,0,0,0,0,0,0,0,0,0,0
true:WebAttack_XSS,0,0,0,0,0,0,0,0,0,0,0
