,precision,recall,f1-score,support,evaluable
BENIGN,0.636957221411892,0.8981039164805986,0.745317252921928,414275,True
DoS GoldenEye,0.0,0.0,0.0,0,False
DoS Hulk,0.0,0.0,0.0,0,False
DoS Slowhttptest,0.0,0.0,0.0,0,False
DoS slowloris,0.0,0.0,0.0,0,False
FTP-Patator,0.0,0.0,0.0,0,False
SSH-Patator,0.0,0.0,0.0,0,False
Unknown_Attack,0.5130902182475325,0.1533003603036103,0.23606850954171518,288923,True
WebAttack_BruteForce,0.0,0.0,0.0,0,False
WebAttack_SQLInjection,0.0,0.0,0.0,0,False
WebAttack_XSS,0.0,0.0,0.0,0,False
