feature,importance
Bwd Packet Length Max,0.15691956877708435
Bwd Packet Length Min,0.11281909048557281
min_seg_size_forward,0.06331473588943481
Bwd Header Length,0.062211181968450546
Max Packet Length,0.043313346803188324
Active Min,0.030851788818836212
Bwd IAT Std,0.030160387977957726
Init_Win_bytes_backward,0.029918788000941277
Bwd Packet Length Mean,0.02942267432808876
Idle Mean,0.023848282173275948
Fwd PSH Flags,0.020291181281208992
Fwd Packet Length Mean,0.019296396523714066
Bwd Packets/s,0.018518898636102676
Idle Max,0.018328523263335228
Fwd Packet Length Min,0.017535950988531113
Bwd IAT Mean,0.017130514606833458
Bwd IAT Min,0.01698022522032261
Fwd IAT Std,0.016814181581139565
Flow IAT Mean,0.01591860130429268
Down/Up Ratio,0.014891820959746838
Bwd Packet Length Std,0.014338419772684574
Packet Length Mean,0.013721568509936333
Average Packet Size,0.013239319436252117
Fwd Packet Length Std,0.01181003637611866
Flow Duration,0.011483542621135712
Total Backward Packets,0.010689848102629185
Min Packet Length,0.00959123857319355
Flow Bytes/s,0.009557847864925861
Bwd IAT Total,0.009490695782005787
Total Length of Bwd Packets,0.009436609223484993
Flow IAT Std,0.008574539795517921
FIN Flag Count,0.00851018913090229
Fwd IAT Total,0.00846668891608715
Active Mean,0.007314478047192097
Fwd Packet Length Max,0.007309743668884039
Packet Length Std,0.006669299677014351
Total Fwd Packets,0.006474019959568977
PSH Flag Count,0.006465362850576639
Fwd Header Length,0.006419377867132425
act_data_pkt_fwd,0.0062028211541473866
Packet Length Variance,0.005757851060479879
Init_Win_bytes_forward,0.004802674986422062
Total Length of Fwd Packets,0.004704371094703674
Fwd Packets/s,0.004536528140306473
Flow IAT Max,0.004205784760415554
URG Flag Count,0.004097213037312031
Idle Std,0.0034920494072139263
Bwd IAT Max,0.0033840143587440252
Flow IAT Min,0.0032408989500254393
Fwd IAT Min,0.002664148109033704
Flow Packets/s,0.00248251692391932
Fwd IAT Mean,0.0023951216135174036
Active Max,0.0019364218460395932
Active Std,0.0019221208058297634
ACK Flag Count,0.001677840598858893
Fwd IAT Max,0.00144361169077456
Idle Min,0.0010557174682617188
SYN Flag Count,0.0009828974725678563
RST Flag Count,0.0006177026662044227
ECE Flag Count,0.0003487940994091332
Fwd URG Flags,0.0
CWE Flag Count,0.0
